dt,head_des_x,head_des_y,head_des_z,reye_des_x,reye_des_y,reye_des_z,leye_des_x,leye_des_y,leye_des_z,head_cur_x,head_cur_y,head_cur_z,reye_cur_x,reye_cur_y,reye_cur_z,leye_cur_x,leye_cur_y,leye_cur_z,head_ori_error,reye_orientation_error,leye_orientation_error,h1,h2,h3,q0,q1,q2,q3,q4,q5,q6,dq0,dq1,dq2,dq3,dq4,dq5,dq6,rank_t1,rank_t2
0.05,0.7,0.0,0.1385,0.5,0.0,0.1385,0.5,0.0,0.1385,0.7,0.0,0.1385,0.5001,-0.0006,0.1385,0.5001,0.0006,0.1385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.1387,-0.1387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
0.05,0.7,0.0001,0.1385,0.5,0.0,0.1385,0.5,0.0,0.1385,0.7,0.0,0.1385,0.5001,-0.0006,0.1385,0.5001,0.0006,0.1385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.1387,-0.1387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
0.05,0.7,0.0002,0.1385,0.5,0.0,0.1385,0.5,0.0,0.1385,0.7,0.0,0.1385,0.5001,-0.0006,0.1385,0.5001,0.0006,0.1385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.1387,-0.1387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
0.05,0.7,0.0005,0.1385,0.5,0.0,0.1385,0.5,0.0,0.1385,0.7,0.0,0.1385,0.5001,-0.0006,0.1385,0.5001,0.0006,0.1385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.1387,-0.1387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
0.05,0.7,0.0009,0.1385,0.5,0.0,0.1385,0.5,0.0,0.1385,0.7,0.0,0.1385,0.5001,-0.0006,0.1385,0.5001,0.0006,0.1385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.1387,-0.1387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
0.05,0.7,0.0015,0.1385,0.5,0.0,0.1385,0.5,0.0,0.1385,0.7,0.0,0.1385,0.5001,-0.0006,0.1385,0.5001,0.0006,0.1385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.1387,-0.1387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
0.05,0.7,0.0023,0.1385,0.5001,0.0,0.1385,0.5001,0.0,0.1385,0.7,0.0,0.1385,0.5001,-0.0006,0.1385,0.5001,0.0006,0.1385,0.0033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.1387,-0.1387,-0.0,0.0033,0.0,-0.0,0.0,-0.0033,-0.0033,3.0,3.0
0.05,0.7,0.0034,0.1385,0.5001,0.0,0.1385,0.5001,0.0,0.1385,0.7,0.0023,0.1385,0.5003,-0.0002,0.1385,0.5,0.0011,0.1385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033,0.0,-0.0,0.0,0.1354,-0.142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
0.05,0.7,0.0048,0.1385,0.5001,0.0,0.1385,0.5001,0.0,0.1385,0.7,0.0023,0.1385,0.5001,-0.0002,0.1385,0.5002,0.001,0.1385,0.0035,0.0,0.0,0.0,0.0,0.0,0.0,0.0033,0.0,-0.0,0.0,0.1354,-0.142,-0.0,0.0035,-0.0,-0.0,0.0,-0.0035,-0.0035,3.0,3.0
0.05,0.7,0.0064,0.1385,0.5002,0.0,0.1385,0.5002,0.0,0.1385,0.7,0.0048,0.1385,0.5003,0.0002,0.1385,0.5001,0.0014,0.1385,0.0,0.0,0.0038,0.0,0.0,0.0,0.0,0.0068,-0.0,-0.0,0.0,0.1319,-0.1455,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0038,3.0,3.0
