dt,head_des_x,head_des_y,head_des_z,reye_des_x,reye_des_y,reye_des_z,leye_des_x,leye_des_y,leye_des_z,head_cur_x,head_cur_y,head_cur_z,reye_cur_x,reye_cur_y,reye_cur_z,leye_cur_x,leye_cur_y,leye_cur_z,head_ori_error,reye_orientation_error,leye_orientation_error,h1,h2,h3,q0,q1,q2,q3,q4,q5,q6,dq0,dq1,dq2,dq3,dq4,dq5,dq6,rank_t1,rank_t2
0.05,0.7,0.0,0.1385,0.7,0.0,0.1385,0.7,0.0,0.1385,0.7,0.0,0.1385,0.7,-0.0003,0.1385,0.7,0.0003,0.1385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0915,-0.0915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
0.05,0.7,0.0,0.1385,0.7,0.0,0.1385,0.7,0.0,0.1385,0.7,0.0,0.1385,0.7,-0.0003,0.1385,0.7,0.0003,0.1385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0915,-0.0915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
0.05,0.7,0.0001,0.1386,0.7,0.0,0.1385,0.7,0.0,0.1385,0.7,0.0,0.1385,0.7,-0.0003,0.1385,0.7,0.0003,0.1385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0915,-0.0915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
0.05,0.7,0.0002,0.1387,0.7,0.0001,0.1385,0.7,0.0001,0.1385,0.7,0.0,0.1385,0.7,-0.0003,0.1385,0.7,0.0003,0.1385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0915,-0.0915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
0.05,0.7,0.0003,0.1388,0.7,0.0001,0.1386,0.7,0.0001,0.1386,0.7,0.0,0.1385,0.7,-0.0003,0.1385,0.7,0.0003,0.1385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0915,-0.0915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
0.05,0.7,0.0006,0.1391,0.7,0.0002,0.1387,0.7,0.0002,0.1387,0.7,0.0,0.1385,0.7,-0.0003,0.1385,0.7,0.0003,0.1385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0915,-0.0915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
0.05,0.7,0.0009,0.1394,0.7,0.0003,0.1388,0.7,0.0003,0.1388,0.7,0.0,0.1385,0.7,-0.0003,0.1385,0.7,0.0003,0.1385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0915,-0.0915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
0.05,0.7,0.0013,0.1398,0.7,0.0004,0.1389,0.7,0.0004,0.1389,0.7,0.0,0.1385,0.7001,-0.0003,0.1385,0.7,0.0003,0.1385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0915,-0.0915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
0.05,0.7,0.0018,0.1403,0.7,0.0006,0.1391,0.7,0.0006,0.1391,0.7,0.0,0.1385,0.7001,-0.0003,0.1385,0.7,0.0003,0.1385,0.0036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0915,-0.0915,0.0013,0.0026,-0.0,0.0013,-0.0026,-0.0026,-0.0026,3.0,3.0
0.05,0.7,0.0024,0.1409,0.7,0.0008,0.1393,0.7,0.0008,0.1393,0.6998,0.0018,0.1403,0.7,0.0001,0.1388,0.6997,0.0006,0.1388,0.0,0.0,0.0,0.0,0.0,0.0,0.0013,0.0026,-0.0,0.0013,-0.0026,0.0889,-0.094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
0.05,0.7,0.0031,0.1416,0.7,0.001,0.1395,0.7,0.001,0.1395,0.7,0.0018,0.1403,0.7001,0.0001,0.1388,0.7,0.0006,0.1388,0.0,0.0,0.0,0.0,0.0,0.0,0.0013,0.0026,-0.0,0.0013,-0.0026,0.0889,-0.094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
0.05,0.7,0.004,0.1425,0.7,0.0013,0.1398,0.7,0.0013,0.1398,0.7,0.0018,0.1403,0.7001,0.0001,0.1388,0.7,0.0006,0.1388,0.0044,0.0,0.0,0.0,0.0,0.0,0.0013,0.0026,-0.0,0.0013,-0.0026,0.0889,-0.094,0.0016,0.0031,-0.0,0.0016,-0.0031,-0.0031,-0.0031,3.0,3.0
0.05,0.7,0.005,0.1435,0.7,0.0017,0.1401,0.7,0.0017,0.1401,0.6998,0.004,0.1425,0.7001,0.0005,0.1392,0.6995,0.001,0.1392,0.0,0.0,0.0,0.0,0.0,0.0,0.0029,0.0057,-0.0,0.0029,-0.0057,0.0858,-0.0972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
0.05,0.7,0.0061,0.1446,0.7,0.002,0.1405,0.7,0.002,0.1405,0.7,0.004,0.1425,0.7001,0.0005,0.1392,0.6999,0.0009,0.1392,0.0042,0.0035,0.003,0.0,0.0,0.0,0.0029,0.0057,-0.0,0.0029,-0.0057,0.0858,-0.0972,0.0015,0.003,-0.0,0.0015,-0.0007,-0.0003,-0.0011,3.0,3.0
0.05,0.7,0.0073,0.1458,0.7,0.0024,0.1409,0.7,0.0024,0.1409,0.6998,0.0061,0.1446,0.6999,0.0024,0.1409,0.6996,0.0024,0.1409,0.0,0.0,0.0,0.0,0.0,0.0,0.0043,0.0087,-0.0,0.0043,-0.0064,0.0855,-0.0982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
0.05,0.7,0.0087,0.1472,0.7,0.0029,0.1414,0.7,0.0029,0.1414,0.7,0.0061,0.1446,0.7,0.0024,0.1409,0.7,0.0024,0.1409,0.0053,0.0,0.0,0.0,0.0,0.0,0.0043,0.0087,-0.0,0.0043,-0.0064,0.0855,-0.0982,0.0019,0.0037,-0.0,0.0019,-0.0037,-0.0037,-0.0037,3.0,3.0
0.05,0.7,0.0102,0.1487,0.7,0.0034,0.1419,0.7,0.0034,0.1419,0.6997,0.0087,0.1472,0.7,0.0029,0.1413,0.6995,0.0028,0.1413,0.003,0.0,0.0,0.0,0.0,0.0,0.0062,0.0124,-0.0001,0.0062,-0.0101,0.0818,-0.102,0.0011,0.0021,-0.0,0.0011,-0.0021,-0.0021,-0.0021,3.0,3.0
0.05,0.7,0.0118,0.1503,0.7,0.0039,0.1424,0.7,0.0039,0.1424,0.6999,0.0102,0.1487,0.7,0.0032,0.1416,0.6997,0.0031,0.1416,0.0033,0.0,0.0,0.0,0.0,0.0,0.0073,0.0145,-0.0001,0.0073,-0.0123,0.0796,-0.1041,0.0012,0.0023,-0.0,0.0012,-0.0023,-0.0023,-0.0023,3.0,3.0
0.05,0.7,0.0136,0.1521,0.7,0.0045,0.143,0.7,0.0045,0.143,0.6998,0.0118,0.1503,0.7,0.0035,0.1419,0.6996,0.0033,0.1419,0.0036,0.0,0.0029,0.0,0.0,0.0,0.0084,0.0169,-0.0001,0.0084,-0.0146,0.0773,-0.1064,0.0013,0.0025,-0.0,0.0013,-0.0016,-0.0025,-0.0004,3.0,3.0
0.05,0.7,0.0155,0.154,0.7,0.0052,0.1437,0.7,0.0052,0.1437,0.6998,0.0136,0.1521,0.7001,0.0038,0.1428,0.6997,0.0049,0.1428,0.0038,0.0029,0.0,0.0,0.0,0.0,0.0097,0.0194,-0.0002,0.0097,-0.0162,0.0748,-0.1068,0.0014,0.0027,-0.0001,0.0014,-0.002,-0.0003,-0.0027,3.0,3.0
0.05,0.7,0.0176,0.1561,0.7,0.0059,0.1443,0.7,0.0059,0.1443,0.6998,0.0155,0.154,0.6999,0.0055,0.1435,0.6996,0.0052,0.1435,0.0041,0.0,0.0,0.0,0.0,0.0,0.0111,0.0221,-0.0002,0.0111,-0.0182,0.0745,-0.1095,0.0015,0.0029,-0.0001,0.0015,-0.0029,-0.0029,-0.0029,3.0,3.0
0.05,0.7,0.0197,0.1582,0.7,0.0066,0.1451,0.7,0.0066,0.1451,0.6998,0.0176,0.1561,0.7,0.0059,0.1439,0.6996,0.0055,0.1439,0.0044,0.0,0.0,0.0,0.0,0.0,0.0125,0.025,-0.0003,0.0125,-0.0211,0.0715,-0.1124,0.0015,0.0031,-0.0001,0.0015,-0.0031,-0.0031,-0.0031,3.0,3.0
0.05,0.7,0.022,0.1605,0.7,0.0073,0.1458,0.7,0.0073,0.1458,0.6998,0.0197,0.1582,0.7,0.0063,0.1443,0.6995,0.0058,0.1443,0.0046,0.0032,0.0038,0.0,0.0,0.0,0.0141,0.0281,-0.0004,0.0141,-0.0241,0.0685,-0.1155,0.0016,0.0033,-0.0001,0.0016,-0.0006,-0.0014,-0.0006,3.0,3.0
0.05,0.7,0.0245,0.163,0.7,0.0082,0.1466,0.7,0.0082,0.1466,0.6998,0.022,0.1605,0.6999,0.0078,0.1462,0.6996,0.0077,0.1462,0.0049,0.0,0.0,0.0,0.0,0.0,0.0157,0.0314,-0.0005,0.0157,-0.0248,0.067,-0.1162,0.0017,0.0034,-0.0001,0.0017,-0.0034,-0.0034,-0.0034,3.0,3.0
