dt,head_des_x,head_des_y,head_des_z,reye_des_x,reye_des_y,reye_des_z,leye_des_x,leye_des_y,leye_des_z,head_cur_x,head_cur_y,head_cur_z,reye_cur_x,reye_cur_y,reye_cur_z,leye_cur_x,leye_cur_y,leye_cur_z,head_ori_error,reye_orientation_error,leye_orientation_error,h1,h2,h3,q0,q1,q2,q3,q4,q5,q6,dq0,dq1,dq2,dq3,dq4,dq5,dq6,rank_t1,rank_t2
0.05,0.7,0.0,0.1385,0.7,0.0,0.1385,0.7,0.0,0.1385,0.7,0.0,0.1385,0.7001,-0.001,0.1385,0.7001,0.001,0.1385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0902,-0.0902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
0.05,0.7,0.0001,0.1385,0.7,0.0,0.1385,0.7,0.0,0.1385,0.7,0.0,0.1385,0.7001,-0.001,0.1385,0.7001,0.001,0.1385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0902,-0.0902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
0.05,0.7,0.0004,0.1385,0.7,0.0,0.1385,0.7,0.0,0.1385,0.7,0.0,0.1385,0.7001,-0.001,0.1385,0.7001,0.001,0.1385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0902,-0.0902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
0.05,0.7,0.0009,0.1385,0.7,0.0,0.1385,0.7,0.0,0.1385,0.7,0.0,0.1385,0.7001,-0.001,0.1385,0.7001,0.001,0.1385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0902,-0.0902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
0.05,0.7,0.0018,0.1385,0.7,0.0,0.1385,0.7,0.0,0.1385,0.7,0.0,0.1385,0.7001,-0.001,0.1385,0.7001,0.001,0.1385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0902,-0.0902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
0.05,0.7,0.003,0.1385,0.7001,0.0,0.1385,0.7001,0.0,0.1385,0.7,0.0,0.1385,0.7001,-0.001,0.1385,0.7001,0.001,0.1385,0.0043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0902,-0.0902,0.0,0.0043,0.0,0.0,0.0,-0.0043,-0.0043,3.0,3.0
0.05,0.7,0.0046,0.1385,0.7001,0.0,0.1385,0.7001,0.0,0.1385,0.7,0.003,0.1385,0.7004,-0.0005,0.1385,0.6999,0.0015,0.1385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043,0.0,-0.0,0.0,0.0859,-0.0945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
0.05,0.7,0.0067,0.1385,0.7001,0.0,0.1385,0.7001,0.0,0.1385,0.7,0.003,0.1385,0.7001,-0.0005,0.1385,0.7002,0.0015,0.1385,0.0053,0.0,0.0,0.0,0.0,0.0,0.0,0.0043,0.0,-0.0,0.0,0.0859,-0.0945,0.0,0.0053,0.0,0.0,0.0,-0.0053,-0.0053,3.0,3.0
0.05,0.7,0.0093,0.1385,0.7002,0.0,0.1385,0.7002,0.0,0.1385,0.7,0.0067,0.1385,0.7005,0.0002,0.1385,0.7,0.0022,0.1385,0.0037,0.0,0.0037,0.0,0.0,0.0,0.0,0.0096,0.0,-0.0,0.0,0.0806,-0.0998,0.0,0.0037,0.0,0.0,0.0,-0.0037,-0.0074,3.0,3.0
0.05,0.7,0.0124,0.1385,0.7002,0.0,0.1385,0.7002,0.0,0.1385,0.7,0.0093,0.1385,0.7004,0.0006,0.1385,0.7,0.0005,0.1385,0.0044,0.0,0.0,0.0,0.0,0.0,0.0,0.0133,0.0,-0.0,0.0,0.0769,-0.1072,0.0,0.0044,0.0,0.0,0.0,-0.0044,-0.0044,3.0,3.0
0.05,0.7,0.0161,0.1385,0.7003,0.0,0.1385,0.7003,0.0,0.1385,0.7,0.0124,0.1385,0.7004,0.0012,0.1385,0.7,0.001,0.1385,0.0052,0.0,0.0,0.0,0.0,0.0,0.0,0.0177,0.0,-0.0,0.0,0.0724,-0.1116,0.0,0.0052,0.0,0.0,0.0,-0.0052,-0.0052,3.0,3.0
0.05,0.7,0.0203,0.1385,0.7004,0.0,0.1385,0.7004,0.0,0.1385,0.7,0.0161,0.1385,0.7005,0.0018,0.1385,0.7001,0.0016,0.1385,0.006,0.0031,0.0,0.0,0.0,0.0,0.0,0.023,0.0,-0.0,0.0,0.0672,-0.1168,-0.0,0.006,-0.0,-0.0,0.0,-0.0091,-0.006,3.0,3.0
0.05,0.7,0.025,0.1385,0.7005,0.0,0.1385,0.7005,0.0,0.1385,0.7,0.0203,0.1385,0.7007,0.0008,0.1385,0.7002,0.0023,0.1385,0.0068,0.0,0.0039,0.0,0.0,0.0,0.0,0.029,-0.0,-0.0,0.0,0.0581,-0.1228,0.0,0.0068,0.0,0.0,0.0,-0.0068,-0.0107,3.0,3.0
0.05,0.7,0.0304,0.1385,0.7006,0.0,0.1385,0.7006,0.0,0.1385,0.7,0.025,0.1385,0.7008,0.0016,0.1385,0.7001,0.0008,0.1385,0.0076,0.0,0.0,0.0,0.0,0.0,0.0,0.0357,-0.0,-0.0,0.0,0.0513,-0.1335,0.0,0.0076,0.0,0.0,0.0,-0.0076,-0.0076,3.0,3.0
